dimacs_file,solver,grammar,word,word_length,positive_or_negative,nonterminal_count,rule_count,singular_rule_count,double_rule_count,bool_variable_count,base_bool_variable_count,tseitin_variable_count,clause_count,fixed_value_clause_count,tseitin_clause_count,window_clause_count,status,result,time_ms
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w6.cnf,pysat:m22,1,type id = Integer ; procedure id ( ) type id = Char ; begin id >= id and konšt_int < - konšt_boolean < konšt_real - - konšt_real + id := konšt_real <> konšt_int > - konšt_char > konšt_int ; end,41,positive,180,324,95,229,2783900,154980,2628920,8041741,34441,7886760,120540,ok,SAT,5058.763
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w6.cnf,pysat:mc,1,type id = Integer ; procedure id ( ) type id = Char ; begin id >= id and konšt_int < - konšt_boolean < konšt_real - - konšt_real + id := konšt_real <> konšt_int > - konšt_char > konšt_int ; end,41,positive,180,324,95,229,2783900,154980,2628920,8041741,34441,7886760,120540,ok,SAT,5848.583
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w6.cnf,pysat:mgh,1,type id = Integer ; procedure id ( ) type id = Char ; begin id >= id and konšt_int < - konšt_boolean < konšt_real - - konšt_real + id := konšt_real <> konšt_int > - konšt_char > konšt_int ; end,41,positive,180,324,95,229,2783900,154980,2628920,8041741,34441,7886760,120540,ok,SAT,5053.656
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w6.cnf,pycryptosat,1,type id = Integer ; procedure id ( ) type id = Char ; begin id >= id and konšt_int < - konšt_boolean < konšt_real - - konšt_real + id := konšt_real <> konšt_int > - konšt_char > konšt_int ; end,41,positive,180,324,95,229,2783900,154980,2628920,8041741,34441,7886760,120540,ok,SAT,3747.307
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w7.cnf,pysat:g3,1,type id = id ; procedure id ( ) type id = id ; begin konšt_int / not ( konšt_boolean ) / konšt_real and konšt_real := not konšt_real <= ( id ) * not konšt_int + konšt_real > konšt_real / konšt_real ; end,43,positive,180,324,95,229,3203156,170280,3032876,9268909,37540,9098628,132741,ok,SAT,5961.085
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w7.cnf,pysat:g4,1,type id = id ; procedure id ( ) type id = id ; begin konšt_int / not ( konšt_boolean ) / konšt_real and konšt_real := not konšt_real <= ( id ) * not konšt_int + konšt_real > konšt_real / konšt_real ; end,43,positive,180,324,95,229,3203156,170280,3032876,9268909,37540,9098628,132741,ok,SAT,5952.321
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w7.cnf,pysat:gc3,1,type id = id ; procedure id ( ) type id = id ; begin konšt_int / not ( konšt_boolean ) / konšt_real and konšt_real := not konšt_real <= ( id ) * not konšt_int + konšt_real > konšt_real / konšt_real ; end,43,positive,180,324,95,229,3203156,170280,3032876,9268909,37540,9098628,132741,ok,SAT,6849.052
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w7.cnf,pysat:gc4,1,type id = id ; procedure id ( ) type id = id ; begin konšt_int / not ( konšt_boolean ) / konšt_real and konšt_real := not konšt_real <= ( id ) * not konšt_int + konšt_real > konšt_real / konšt_real ; end,43,positive,180,324,95,229,3203156,170280,3032876,9268909,37540,9098628,132741,ok,SAT,6886.598
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w7.cnf,pysat:m22,1,type id = id ; procedure id ( ) type id = id ; begin konšt_int / not ( konšt_boolean ) / konšt_real and konšt_real := not konšt_real <= ( id ) * not konšt_int + konšt_real > konšt_real / konšt_real ; end,43,positive,180,324,95,229,3203156,170280,3032876,9268909,37540,9098628,132741,ok,SAT,5447.561
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w7.cnf,pysat:mc,1,type id = id ; procedure id ( ) type id = id ; begin konšt_int / not ( konšt_boolean ) / konšt_real and konšt_real := not konšt_real <= ( id ) * not konšt_int + konšt_real > konšt_real / konšt_real ; end,43,positive,180,324,95,229,3203156,170280,3032876,9268909,37540,9098628,132741,ok,SAT,7294.001
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w7.cnf,pysat:mgh,1,type id = id ; procedure id ( ) type id = id ; begin konšt_int / not ( konšt_boolean ) / konšt_real and konšt_real := not konšt_real <= ( id ) * not konšt_int + konšt_real > konšt_real / konšt_real ; end,43,positive,180,324,95,229,3203156,170280,3032876,9268909,37540,9098628,132741,ok,SAT,5581.008
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w7.cnf,pycryptosat,1,type id = id ; procedure id ( ) type id = id ; begin konšt_int / not ( konšt_boolean ) / konšt_real and konšt_real := not konšt_real <= ( id ) * not konšt_int + konšt_real > konšt_real / konšt_real ; end,43,positive,180,324,95,229,3203156,170280,3032876,9268909,37540,9098628,132741,ok,SAT,4377.739
